gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
FEMALE,Group B,Bachelor'S Degree,standard,none,72,72,74
FEMALE,Group C,Some College,standard,completed,69,90,88
FEMALE,Group B,Master'S Degree,standard,none,90,95,93
MALE,Group A,Associate'S Degree,free/reduced,none,47,57,44
MALE,Group C,Some College,standard,none,76,78,75
FEMALE,Group B,Associate'S Degree,standard,none,71,83,78
FEMALE,Group B,Some College,standard,completed,88,95,92
MALE,Group B,Some College,free/reduced,none,40,43,39
MALE,Group D,High School,free/reduced,completed,64,64,67
FEMALE,Group B,High School,free/reduced,none,38,60,50
MALE,Group C,Associate'S Degree,standard,none,58,54,52
MALE,Group D,Associate'S Degree,standard,none,40,52,43
FEMALE,Group B,High School,standard,none,65,81,73
MALE,Group A,Some College,standard,completed,78,72,70
FEMALE,Group A,Master'S Degree,standard,none,50,53,58
FEMALE,Group C,Some High School,standard,none,69,75,78
MALE,Group C,High School,standard,none,88,89,86
FEMALE,Group B,Some High School,free/reduced,none,18,32,28
MALE,Group C,Master'S Degree,free/reduced,completed,46,42,46
FEMALE,Group C,Associate'S Degree,free/reduced,none,54,58,61
MALE,Group D,High School,standard,none,66,69,63
FEMALE,Group B,Some College,free/reduced,completed,65,75,70
MALE,Group D,Some College,standard,none,44,54,53
FEMALE,Group C,Some High School,standard,none,69,73,73
MALE,Group D,Bachelor'S Degree,free/reduced,completed,74,71,80
MALE,Group A,Master'S Degree,free/reduced,none,73,74,72
MALE,Group B,Some College,standard,none,69,54,55
FEMALE,Group C,Bachelor'S Degree,standard,none,67,69,75
MALE,Group C,High School,standard,none,70,70,65
FEMALE,Group D,Master'S Degree,standard,none,62,70,75
FEMALE,Group D,Some College,standard,none,69,74,74
FEMALE,Group B,Some College,standard,none,63,65,61
FEMALE,Group E,Master'S Degree,free/reduced,none,56,72,65
MALE,Group D,Some College,standard,none,40,42,38
MALE,Group E,Some College,standard,none,97,87,82
MALE,Group E,Associate'S Degree,standard,completed,81,81,79
FEMALE,Group D,Associate'S Degree,standard,none,74,81,83
FEMALE,Group D,Some High School,free/reduced,none,50,64,59
FEMALE,Group D,Associate'S Degree,free/reduced,completed,75,90,88
MALE,Group B,Associate'S Degree,free/reduced,none,57,56,57
MALE,Group C,Associate'S Degree,free/reduced,none,55,61,54
FEMALE,Group C,Associate'S Degree,standard,none,58,73,68
FEMALE,Group B,Associate'S Degree,standard,none,53,58,65
MALE,Group B,Some College,free/reduced,completed,59,65,66
FEMALE,Group E,Associate'S Degree,free/reduced,none,50,56,54
MALE,Group B,Associate'S Degree,standard,none,65,54,57
FEMALE,Group A,Associate'S Degree,standard,completed,55,65,62
FEMALE,Group C,High School,standard,none,66,71,76
FEMALE,Group D,Associate'S Degree,free/reduced,completed,57,74,76
MALE,Group C,High School,standard,completed,82,84,82
MALE,Group E,Some College,standard,none,53,55,48
MALE,Group E,Associate'S Degree,free/reduced,completed,77,69,68
MALE,Group C,Some College,standard,none,53,44,42
MALE,Group D,High School,standard,none,88,78,75
FEMALE,Group C,Some High School,free/reduced,completed,71,84,87
FEMALE,Group C,High School,free/reduced,none,33,41,43
FEMALE,Group E,Associate'S Degree,standard,completed,82,85,86
MALE,Group D,Associate'S Degree,standard,none,52,55,49
MALE,Group D,Some College,standard,completed,58,59,58
FEMALE,Group C,Some High School,free/reduced,none,0,17,10
MALE,Group E,Bachelor'S Degree,free/reduced,completed,79,74,72
MALE,Group A,Some High School,free/reduced,none,39,39,34
MALE,Group A,Associate'S Degree,free/reduced,none,62,61,55
FEMALE,Group C,Associate'S Degree,standard,none,69,80,71
FEMALE,Group D,Some High School,standard,none,59,58,59
MALE,Group B,Some High School,standard,none,67,64,61
MALE,Group D,Some High School,free/reduced,none,45,37,37
FEMALE,Group C,Some College,standard,none,60,72,74
MALE,Group B,Associate'S Degree,free/reduced,none,61,58,56
FEMALE,Group C,Associate'S Degree,standard,none,39,64,57
FEMALE,Group D,Some College,free/reduced,completed,58,63,73
MALE,Group D,Some College,standard,completed,63,55,63
FEMALE,Group A,Associate'S Degree,free/reduced,none,41,51,48
MALE,Group C,Some High School,free/reduced,none,61,57,56
MALE,Group C,Some High School,standard,none,49,49,41
MALE,Group B,Associate'S Degree,free/reduced,none,44,41,38
MALE,Group E,Some High School,standard,none,30,26,22
MALE,Group A,Bachelor'S Degree,standard,completed,80,78,81
FEMALE,Group D,Some High School,standard,completed,61,74,72
FEMALE,Group E,Master'S Degree,standard,none,62,68,68
FEMALE,Group B,Associate'S Degree,standard,none,47,49,50
MALE,Group B,High School,free/reduced,none,49,45,45
MALE,Group A,Some College,free/reduced,completed,50,47,54
MALE,Group E,Associate'S Degree,standard,none,72,64,63
MALE,Group D,High School,free/reduced,none,42,39,34
FEMALE,Group C,Some College,standard,none,73,80,82
FEMALE,Group C,Some College,free/reduced,none,76,83,88
FEMALE,Group D,Associate'S Degree,standard,none,71,71,74
FEMALE,Group A,Some College,standard,none,58,70,67
FEMALE,Group D,Some High School,standard,none,73,86,82
FEMALE,Group C,Bachelor'S Degree,standard,none,65,72,74
MALE,Group C,High School,free/reduced,none,27,34,36
MALE,Group C,High School,standard,none,71,79,71
MALE,Group C,Associate'S Degree,free/reduced,completed,43,45,50
FEMALE,Group B,Some College,standard,none,79,86,92
MALE,Group C,Associate'S Degree,free/reduced,completed,78,81,82
MALE,Group B,Some High School,standard,completed,65,66,62
FEMALE,Group E,Some College,standard,completed,63,72,70
FEMALE,Group D,Some College,free/reduced,none,58,67,62
FEMALE,Group D,Bachelor'S Degree,standard,none,65,67,62
MALE,Group B,Some College,standard,none,79,67,67
MALE,Group D,Bachelor'S Degree,standard,completed,68,74,74
FEMALE,Group D,Associate'S Degree,standard,none,85,91,89
MALE,Group B,High School,standard,completed,60,44,47
MALE,Group C,Some College,standard,completed,98,86,90
FEMALE,Group C,Some College,standard,none,58,67,72
FEMALE,Group D,Master'S Degree,standard,none,87,100,100
MALE,Group E,Associate'S Degree,standard,completed,66,63,64
FEMALE,Group B,Associate'S Degree,free/reduced,none,52,76,70
FEMALE,Group B,Some High School,standard,none,70,64,72
FEMALE,Group D,Associate'S Degree,free/reduced,completed,77,89,98
MALE,Group C,High School,standard,none,62,55,49
MALE,Group A,Associate'S Degree,standard,none,54,53,47
FEMALE,Group D,Some College,standard,none,51,58,54
FEMALE,Group E,Bachelor'S Degree,standard,completed,99,100,100
MALE,Group C,High School,standard,none,84,77,74
FEMALE,Group B,Bachelor'S Degree,free/reduced,none,75,85,82
FEMALE,Group D,Bachelor'S Degree,standard,none,78,82,79
FEMALE,Group D,Some High School,standard,none,51,63,61
FEMALE,Group C,Some College,standard,none,55,69,65
FEMALE,Group C,Bachelor'S Degree,standard,completed,79,92,89
MALE,Group B,Associate'S Degree,standard,completed,91,89,92
FEMALE,Group C,Some College,standard,completed,88,93,93
MALE,Group D,High School,free/reduced,none,63,57,56
MALE,Group E,Some College,standard,none,83,80,73
FEMALE,Group B,High School,standard,none,87,95,86
MALE,Group B,Some High School,standard,none,72,68,67
MALE,Group D,Some College,standard,completed,65,77,74
MALE,Group D,Master'S Degree,standard,none,82,82,74
FEMALE,Group A,Bachelor'S Degree,standard,none,51,49,51
MALE,Group D,Master'S Degree,standard,none,89,84,82
MALE,Group C,Some High School,free/reduced,completed,53,37,40
MALE,Group E,Some College,free/reduced,completed,87,74,70
FEMALE,Group C,Some College,standard,completed,75,81,84
MALE,Group D,Bachelor'S Degree,free/reduced,completed,74,79,75
MALE,Group C,Bachelor'S Degree,standard,none,58,55,48
MALE,Group B,Some High School,standard,completed,51,54,41
MALE,Group E,High School,standard,none,70,55,56
